Date,Cases,Mean Temp (°C),Humidity,DoW
2013-11-23, 3,-2.0,72,0
2013-11-24, 2,-8.3,48,1
2013-11-25, 12,-6.3,65,2
2013-11-26, 6,0.8,82,3
2013-11-27, 6,0.0,87,4
2013-11-28, 2,-8.5,55,5
2013-11-29, 7,-10.8,61,6
2013-11-30, 3,-7.0,66,0
2013-12-01, 2,0.0,81,1
2013-12-02, 8,1.5,95,2
2013-12-03, 6,0.3,61,3
2013-12-04, 12,0.3,76,4
2013-12-05, 3,5.0,92,5
2013-12-06, 6,0.8,58,6
2013-12-07, 4,-2.3,61,0
2013-12-08, 5,-5.8,47,1
2013-12-09, 14,-0.8,90,2
2013-12-10, 11,-5.3,49,3
2013-12-11, 3,-6.8,47	,4
2013-12-12, 2,-11.5,61,5
2013-12-13, 6,-12.5,64,6
2013-12-14, 2,-16.5,62,0
2013-12-15, 4,-13.0,75,1
2013-12-16, 11,-17.3,60,2
2013-12-17, 5,-17.3,79,3
2013-12-18, 6,-9.3,86,4
2013-12-19, 4,-1.5,63,5
2013-12-20, 6,-3.0,93,6
2013-12-21, 6,-5.0,92,0
2013-12-22, 5,-5.5,91,1
2013-12-23, 13,-4.8,92,2
2013-12-24, 2,-14.8,76,3
2013-12-25, 5,-15.3,80,4
2013-12-26, 6,-7.3,90,5
2013-12-27, 10,-4.3,84,6
2013-12-28, 12,-2.5,83,0
2013-12-29, 16,1.3,84,1
2013-12-30, 10,-13.8,52,2
2013-12-31, 4,-12.0,84,3
2014-01-01, 11,-15.0,56,4
2014-01-02, 12,-23.5,57,5
2014-01-03, 7,-19.5,46,6
2014-01-04, 10,-12.3,67,0
2014-01-05, 7,2.3,70,1
2014-01-06, 11,0.0,65,2
2014-01-07, 4,-17.0,59,3
2014-01-08, 9,-12.5,60,4
2014-01-09, 3,-7.8,54,5
2014-01-10, 6,-2.5,92,6
2014-01-11, 12,3.3,99,0
2014-01-12, 10,1.5,79,1
2014-01-13, 9,2.5,80,2
2014-01-14, 6,2.5,99,3
2014-01-15, 7,-1.8,68,4
2014-01-16, 6,-3.0,73,5
2014-01-17, 9,-2.0,86,6
2014-01-18, 1,-3.5,90,0
2014-01-19, 4,-4.8,83,1
2014-01-20, 4,-13.8,66,2
2014-01-21, 5,-24.0,57,3
2014-01-22, 10,-24.0,65,4
2014-01-23, 5,-20.5,59,5
2014-01-24, 9,-16.0,69,6
