56.0,55.4,169.86,217.76,463.8954248383841,5,272.27424142518004,-466.19447089680256,0.115905223105221,0.016962278591282496,-0.03771306726147855
61.0,54.0,165.61,213.0,483.6079832463229,6,265.74321721666297,-485.852748345096,0.1223740413631866,0.022237639354906837,-0.03288093583876787
57.0,55.4,164.59,211.31,510.07536135896873,0,263.56090191613356,-512.3028751484661,0.12827848371875636,0.022538638632087764,-0.03767955447123306
59.0,61.8,170.32,216.81,839.5585242862401,1,268.6565627177716,-841.8408727661987,0.20835967047690582,0.01603140347606585,-0.07278075047074974
76.0,64.2,175.2,223.31,1192.1318794956653,2,273.8278039037083,-1194.4698557604852,0.2988630624954891,0.01469128227500076,-0.09129982406410288
68.0,66.4,180.41,230.6,874.2392766010835,3,285.4457045521935,-876.6633375354588,0.2191942466262388,0.009147521775277388,-0.06766054286205819
72.0,70.4,187.46,239.97,682.5754764004334,4,298.77666565105056,-685.1044917073799,0.17113234997390964,0.0022959552865045923,-0.053791624970135545
77.0,71.4,192.72,248.05,623.4341920364385,5,308.88040188039616,-626.0454327165911,0.15902685101145878,-1.3047305976148756e-05,-0.03899048417460359
64.0,69.2,194.41,252.07,680.6559480227875,6,312.6127910825125,-683.2999098625244,0.17767218741975924,0.0026776072712897995,-0.02646669027253778
65.0,70.0,197.27,255.97,420.96143115530464,0,319.62403788170815,-423.6550098373113,0.1119930410898141,-0.0011654252128467982,-0.009404771565297627
72.0,71.0,200.52,259.86,122.19174484313808,1,327.19396794163055,-124.93841452684764,0.03524527487210869,-0.006662400421954752,0.005553136532689218
77.0,68.4,200.46,260.25,92.62409540294489,2,327.713187890448,-95.37393783982729,0.02872003946337446,-0.005863490819532091,0.011276850000460848
64.0,69.0,201.78,261.07,38.16576052920203,3,329.6266173922019,-40.930009417382834,0.012952815867080037,-0.009180091614922661,0.006946114726484025
67.0,71.0,204.38,263.32,190.73518898825216,4,331.71900615681096,-193.5226602401118,0.04953735266057499,-0.012612149326027987,-0.01126483319121105
75.0,70.8,205.54,264.68,82.89120502410456,5,334.4085364280574,-85.6974887067811,0.021774878185023036,-0.01464048561843058,-0.0060994855152819456
71.0,71.0,206.45,265.77,136.01833142889564,6,335.38216179407596,-138.83466244969972,0.035167999652642765,-0.015226989076653053,-0.009864834708916649
78.0,72.8,208.57,268.16,-2.8974328820737405,0,339.7343578601576,0.04937506736402996,-0.0009420679935308929,-0.018724147261792497,-0.004629211545320098
73.0,74.2,211.01,271.3,-63.9621902314545,1,344.2226765063553,61.07864361456504,-0.0164562919621435,-0.021268680457516037,-0.001018245814995013
74.0,74.2,212.61,273.78,-200.01861503015266,2,348.3033006666866,197.10575345755376,-0.05019830104111802,-0.022746666890871216,0.010545514305072955
75.0,71.0,210.5,272.39,29.246881084039043,3,343.98998106416445,-32.131199108248104,0.011098985753345189,-0.016617870110683722,0.008512413059886583
55.0,68.2,206.87,268.5,212.27661470816156,4,337.1573410679862,-215.10981885386562,0.05938667356714624,-0.010598650597693778,0.004472614379110072
64.0,67.2,204.27,264.72,256.8674996503669,5,332.20338051410533,-259.66086915886706,0.06975195846054337,-0.008914498716543706,-0.0019038942147274918
68.0,65.2,200.73,259.85,-45.830916711759066,6,328.7232360741874,43.077222620160704,-0.008206518468851703,-0.00858432691493341,0.012934659682528772
64.0,64.0,197.29,254.89,-75.45828044584044,0,322.9442414470627,72.75390526714385,-0.017002794851579916,-0.006888207007285618,0.010009160085474618
69.0,66.2,197.27,253.38,87.90242268110819,1,320.3695405104822,-90.59139295405764,0.021426839853556017,-0.00876050647351589,-0.012219703877062163
66.0,65.2,195.68,251.24,-34.15672756931069,2,318.72734869741004,31.485768598782933,-0.009941105273432102,-0.008419011240219093,-0.005957775772622804
59.0,64.4,193.59,248.73,3.054325582081738,3,315.1512716188454,-5.696552502455489,-0.00011087852472761091,-0.005978348136907836,-0.006633099535442766
64.0,63.8,191.38,246.17,-11.149998855294378,4,311.89313185117396,8.535671120453701,-0.0031677332978899,-0.0035780440272639344,-0.0034239745978211365
61.0,62.2,188.17,242.65,54.167562962013285,5,306.5969821082882,-56.739589195928254,0.014741463473346228,0.0009103108646233532,-0.0020646096777173673
61.0,62.2,186.32,240.19,6.048043270372005,6,303.92279649510334,-8.595990931874397,0.0022543365845302922,0.002021529733567905,1.3169154293240723e-05
66.0,66.6,189.55,242.9,-3.0886856800603333,0,308.12027806141003,0.5054209595290664,-0.003145524900661573,-0.0037971379047329235,-0.011778190173502604
81.0,69.2,193.5,247.59,-34.11768977474399,1,314.50698239255587,31.481848127226513,-0.011819797942894287,-0.008246267237264094,-0.013249848153851246
77.0,68.8,195.33,250.82,215.6434960797508,2,316.08702217663495,-218.3010569220019,0.05381796071182137,-0.006316126643343214,-0.020243109683226342
59.0,69.0,196.95,253.51,192.96765950671625,3,319.3954089876257,-195.65197393908076,0.04939022841876231,-0.006647584057694895,-0.013698097758972419
62.0,67.0,195.96,253.41,78.08963907438792,4,319.6725880295908,-80.77189127667693,0.022625376970997615,-0.004193067632174404,0.003026506332707894
56.0,69.0,197.83,255.38,32.662761151406,5,322.75603596380586,-35.36940753075308,0.010136103094428953,-0.007023338276955812,0.00197312752212665
91.0,65.4,195.36,253.31,-85.89588423672294,6,320.60044794045683,83.21180320994092,-0.01774467608030419,-0.0034418627159151847,0.01831666464950372
59.0,67.4,196.46,253.79,-102.60591375858439,0,321.7939734153865,99.91212217589955,-0.024014694248953014,-0.006420817362334211,0.011296369118037225
