44,54.8,174.68,223.39,4
56,55.4,169.86,217.76,5
61,54,165.61,213,6
57,55.4,164.59,211.31,0
59,61.8,170.32,216.81,1
76,64.2,175.2,223.31,2
68,66.4,180.41,230.6,3
72,70.4,187.46,239.97,4
77,71.4,192.72,248.05,5
64,69.2,194.41,252.07,6
65,70,197.27,255.97,0
72,71,200.52,259.86,1
77,68.4,200.46,260.25,2
64,69,201.78,261.07,3
67,71,204.38,263.32,4
75,70.8,205.54,264.68,5
71,71,206.45,265.77,6
78,72.8,208.57,268.16,0
73,74.2,211.01,271.3,1
74,74.2,212.61,273.78,2
75,71,210.5,272.39,3
55,68.2,206.87,268.5,4
64,67.2,204.27,264.72,5
68,65.2,200.73,259.85,6
64,64,197.29,254.89,0
69,66.2,197.27,253.38,1
66,65.2,195.68,251.24,2
59,64.4,193.59,248.73,3
64,63.8,191.38,246.17,4
61,62.2,188.17,242.65,5
61,62.2,186.32,240.19,6
66,66.6,189.55,242.9,0
81,69.2,193.5,247.59,1
77,68.8,195.33,250.82,2
59,69,196.95,253.51,3
62,67,195.96,253.41,4
56,69,197.83,255.38,5
91,65.4,195.36,253.31,6
59,67.4,196.46,253.79,0
69,66.4,196.15,253.24,1
57,68,197.79,254.43,2
64,62,192.32,249.07,3
61,62,189.43,244.91,4
59,57.8,183.29,237.6,5
48,58,179.9,232.32,6
58,57,176.58,227.47,0
59,59.2,176.26,225.91,1
72,62,178.47,227.75,2
73,67,184.02,234.02,3
73,64.4,184.13,236.17,4
45,66.2,186.17,239.5,5
68,63.6,185.2,239.73,6
59,67.6,189.11,243.91,0
93,64.6,188.59,244.28,1
58,66.6,190.91,246.54,2
55,63.8,189.67,245.5,3
54,61.8,187.32,242.59,4
49,54,178.22,232.45,5
54,53,172.04,223.56,6
53,52.8,167.98,216.85,0
54,53.4,165.42,212.31,1
57,55,165.03,210.65,2
57,55.4,164.16,209.58,3
56,53.4,161.36,206.95,4
43,52.6,158.56,204.06,5
50,52,156.2,201.45,6
54,52.2,154.85,199.81,0
58,58.2,160.4,205.02,1
86,64.6,169.52,215.38,2
75,67.8,177.72,226.36,3
66,70,184.93,236.76,4
65,73.6,193.17,248.07,5
76,74,198.84,256.94,6
88,71.8,201.04,261.5,0
64,71.2,202.97,264.36,1
63,69.6,203.47,264.94,2
57,63.8,198.82,259.57,3
47,53.8,186.65,245.2,4
38,53.4,179.5,233.66,5
62,53.2,174.25,224.63,6
62,57.4,174.34,221.93,0
78,59.6,175,221.9,1
58,64.2,178.99,226.46,2
61,63,179.37,228.8,3
56,62,178.55,229.59,4
57,57,173.17,225.27,5
53,56.8,170.65,222.16,6
57,57.2,170.34,220.79,0
63,55.8,168.8,218.39,1
49,57.2,169.49,217.99,2
64,61.6,173.79,221.86,3
75,65.4,179.44,228.44,4
76,66.8,183.45,234.52,5
70,67.6,186.74,239.94,6
53,66,187.4,242.46,0
56,64,186.76,242.64,1
65,62.2,185.23,240.98,2
67,57.8,180.37,235.31,3
48,60,180.38,233.34,4
64,59.6,179.65,231.39,5
54,63.4,182.6,233.47,6
84,63.4,183.48,234.82,0
67,70.8,191.15,243.15,1
85,66.8,190.85,245.36,2
44,71.4,195.97,251.7,3
77,68,195.57,253.17,4
67,70.6,198.78,256.98,5
80,70.6,201.18,260.08,6
85,75,207.29,266.68,0
66,69.4,205.36,266.05,1
49,66.6,202.16,262.57,2
53,60.2,194.41,253.56,3
48,53.2,182.82,239.38,4
50,50.2,173.5,225.97,5
51,48.6,165.55,214.06,6
41,51.2,162.87,207.92,0
66,56.6,165.21,208.56,1
75,57.4,165.96,209.84,2
54,63.2,171.12,216.36,3
80,67.8,178.19,226.16,4
64,72.6,186.92,238.47,5
90,70.2,190.1,245.66,6
63,72.6,195.96,253.85,0
66,67.2,194.97,254.76,1
53,64.4,193.18,252.73,2
50,57.4,185.91,244.07,3
55,56.6,181.4,236.46,4
59,53.8,175.83,227.92,5
52,53.2,171.39,220.58,6
50,57,171.63,218.61,0
69,57.2,170.46,217.07,1
56,56.4,168.47,215.25,2
55,65,175.26,222.35,3
95,69.6,183.05,232.58,4
73,71.8,189.66,242.61,5
80,73,195.59,251.72,6
62,73.6,200.42,259.2,0
58,68.2,198.9,259.57,1
68,69.8,201.03,261.48,2
81,63.2,195.85,256.1,3
47,61.4,192.02,250.26,4
53,59.8,188.56,244.32,5
50,56.2,182.27,235.78,6
50,53.2,175.09,226.11,0
66,55.4,172.47,220.94,1
58,54.4,168.77,216,2
48,53.2,164.62,211.05,3
