Count
 7
 8
 4
 3
 4
 9
 4
 2
 3
 6
 7
 6
 3
 2
 3
 1
 8
 11
 7
 4
 0
 4
 2
 2
 1
 0
 8
 2
 7
 3
 1
 4
 5
 5
 5
 3
 3
 2
 4
 4
 3
 1
 4
 3
 5
 0
 5
 1
 7
 2
 1
 4
 3
 1
 2
 1
 2
 3
 5
 0
 4
 3
 2
 3
 6
 7
 1
 6
 9
 4
 7
 4
 3
 4
 8
 10
 5
 8
 4
 7
 5
 5
 7
 9
 4
 6
 12
 5
 5
 6
 11
 6
 6
 4
 4
 7
 7
 6
 4
 4
 8
 3
 7
 9
 8
 6
 1
 9
 5
 8
 8
 10
 6
 2
 5
 5
 9
 9
 6
 3
 1
 8
 3
 7
 4
 11
 6
 3
 6
 9
 6
 7
 8
 5
 6
 6
 2
 4
 3
 10
 7
 4
 2
 0
 3
 10
 7
 8
 8
 2
 7
 6
 9
 9
 8
 10
 7
 0
 5
 2
 9
 7
 5
 9
 3
 2
 12
 6
 6
 2
 7
 3
 2
 8
 6
 12
 3
 6
 4
 5
 14
 11
 3
 2
 6
 2
 4
 11
 5
 6
 4
 6
 6
 5
 13
 2
 5
 6
 10
 12
 16
 10
 4
 11
 12
 7
 10
 7
 11
 4
 9
 3
 6
 12
 10
 9
 6
 7
 6
 9
 1
 4
 4
 5
 10
 5
 9
 5
 13
 4
 11
 4
 7
 5
 6
 3
 9
 11
 8
 5
 7
 7
 5
 10
 7
 6
 4
 8
 6
 6
 6
 6
 8
 10
 2
 3
 4
 12
 7
 7
 13
 6
 8
 7
 11
 10
 11
 11
 6
 6
 7
 7
 4
 7
 8
 6
 11
 6
 8
 4
 6
 5
 7
 10
 4
 6
 9
 12
 10
 8
 2
 3
 9
 11
 6
 4
 12
 6
 14
 8
 6
 5
 7
 4
 6
 12
 9
 3
 7
 6
 4
 8
 16
 10
 5
 12
 8
 5
 8
 6
 13
 9
 3
 2
 17
 9
 7
 11
 8
 1
 9
 12
 7
 9
 10
 7
 8
 10
 9
 4
 9
 5
 10
 3
 5
 10
 6
 1
 9
 9
 12
 8
 5
 4
 8
 6
